произошедшие с 21 по 22 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Республика Алтай;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Тыва;4.0;стаб.;0.0;-100,0;4.0;33,3;стаб.
Республика Хакасия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Алтайский край;7.0;75,0;0.0;-100,0;9.0;80,0;стаб.
Красноярский край;6.0;-14,3;0.0;-100,0;6.0;-14,3;стаб.
Иркутская область;1.0;-88,9;0.0;-100,0;1.0;-90,0;стаб.
Кемеровская область - Кузбасс;6.0;20,0;0.0;-100,0;8.0;-11,1;стаб.
Новосибирская область;6.0;50,0;1.0;-75,0;8.0;33,3;11,1
Омская область;7.0;40,0;0.0;-100,0;7.0;16,7;стаб.
Томская область;1.0;стаб.;0.0;-100,0;4.0;300,0;стаб.
Дальневосточный федеральный округ;23.0;15,0;4.0;-33,3;32.0;45,5;11,1
Республика Бурятия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Саха (Якутия);2.0;100,0;0.0;-100,0;3.0;200,0;стаб.
Забайкальский край;3.0;-40,0;0.0;-100,0;7.0;-12,5;стаб.
Приморский край;6.0;50,0;3.0;50,0;8.0;300,0;27,3
Камчатский край;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Хабаровский край;6.0;20,0;1.0;100,0;7.0;16,7;12,5
Амурская область;2.0;-33,3;0.0;-100,0;2.0;-33,3;стаб.
Магаданская область;1.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Сахалинская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Еврейская автономная область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
произошедшие с 23 по 24 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;258.0;6,6;49.0;11,4;317.0;4,3;13,4
Центральный федеральный округ;65.0;-1,5;11.0;-35,3;72.0;-7,7;13,3
Белгородская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Брянская область;2.0;100,0;1.0;100,0;2.0;100,0;33,3
Владимирская область;2.0;-60,0;1.0;100,0;2.0;-66,7;33,3
Воронежская область;2.0;-80,0;0.0;-100,0;2.0;-81,8;стаб.
Ивановская область;1.0;стаб.;0.0;-100,0;1.0;-50,0;стаб.
Калужская область;2.0;100,0;0.0;-100,0;3.0;200,0;стаб.
Костромская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Курская область;4.0;33,3;1.0;100,0;6.0;-14,3;14,3
Липецкая область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
гор. Москва;25.0;47,1;0.0;-100,0;31.0;93,8;стаб.
Московская область;10.0;25,0;5.0;150,0;9.0;-30,8;35,7
Орловская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Рязанская область;2.0;-33,3;0.0;-100,0;2.0;стаб.;стаб.
Смоленская область;1.0;100,0;1.0;100,0;0.0;-100,0;стаб.
Тамбовская область;2.0;-33,3;0.0;-100,0;2.0;-33,3;стаб.
Тверская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Тульская область;6.0;20,0;2.0;-33,3;6.0;-14,3;25,0
Ярославская область;2.0;-33,3;0.0;-100,0;2.0;-33,3;стаб.
Северо-Западный федеральный округ;25.0;92,3;4.0;300,0;27.0;50,0;12,9
Республика Карелия;1.0;стаб.;1.0;100,0;0.0;-100,0;стаб.
Республика Коми;2.0;100,0;0.0;-100,0;4.0;стаб.;стаб.
Архангельская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Вологодская область;4.0;300,0;2.0;100,0;4.0;100,0;33,3
Калининградская область;1.0;100,0;1.0;100,0;0.0;-100,0;стаб.
Ленинградская область;3.0;200,0;0.0;-100,0;4.0;300,0;стаб.
гор. Санкт-Петербург;8.0;14,3;0.0;-100,0;9.0;12,5;стаб.
Мурманская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Новгородская область;1.0;-50,0;0.0;-100,0;1.0;стаб.;стаб.
Псковская область;3.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Ненецкий автономный округ;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Южный федеральный округ;17.0;-56,4;6.0;-25,0;26.0;-48,0;18,8
Республика Адыгея (Адыгея);1.0;-50,0;0.0;-100,0;1.0;-75,0;стаб.
Республика Калмыкия;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Республика Крым;1.0;-83,3;0.0;-100,0;1.0;-90,9;стаб.
Краснодарский край;7.0;-50,0;3.0;50,0;13.0;стаб.;18,8
Астраханская область;1.0;-50,0;1.0;100,0;1.0;-50,0;50,0
Волгоградская область;1.0;-75,0;0.0;-100,0;3.0;-50,0;стаб.
Ростовская область;2.0;-80,0;2.0;100,0;3.0;-76,9;40,0
гор. Севастополь;3.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Северо-Кавказский федеральный округ;8.0;-46,7;2.0;стаб.;11.0;-47,6;15,4
Республика Дагестан;2.0;-50,0;0.0;-100,0;2.0;-71,4;стаб.
Республика Ингушетия;1.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Кабардино-Балкарская Республика;1.0;-50,0;0.0;-100,0;1.0;-66,7;стаб.
Карачаево-Черкесская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Северная Осетия-Алания;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;4.0;-42,9;2.0;100,0;6.0;-25,0;25,0
Приволжский федеральный округ;56.0;86,7;12.0;140,0;70.0;79,5;14,6
Республика Башкортостан;10.0;150,0;3.0;100,0;8.0;14,3;27,3
Республика Марий Эл;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Республика Мордовия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Татарстан (Татарстан);3.0;-50,0;0.0;-100,0;6.0;стаб.;стаб.
Удмуртская Республика;6.0;500,0;1.0;100,0;5.0;400,0;16,7
Чувашская Республика - Чувашия;2.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Пермский край;5.0;400,0;1.0;100,0;9.0;350,0;10,0
Кировская область;2.0;стаб.;2.0;100,0;2.0;-33,3;50,0
Нижегородская область;5.0;25,0;1.0;стаб.;6.0;50,0;14,3
Оренбургская область;2.0;стаб.;0.0;-100,0;2.0;-33,3;стаб.
Пензенская область;4.0;стаб.;2.0;100,0;4.0;стаб.;33,3
Самарская область;5.0;400,0;0.0;-100,0;7.0;600,0;стаб.
Саратовская область;6.0;50,0;2.0;стаб.;9.0;28,6;18,2
Ульяновская область;5.0;100,0;0.0;-100,0;8.0;100,0;стаб.
Уральский федеральный округ;20.0;стаб.;2.0;100,0;29.0;26,1;6,5
Курганская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Свердловская область;5.0;-44,4;0.0;-100,0;5.0;-50,0;стаб.
Тюменская область;6.0;20,0;1.0;100,0;15.0;200,0;6,3
