со стажем управления от 20 до 25 лет (дейст. с 01.01.2022 г.), апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Республика Саха (Якутия);6.0;-33,3;1.0;стаб.;6.0;-50,0;14,3
Забайкальский край;1.0;-80,0;0.0;-100,0;3.0;-25,0;стаб.
Приморский край;13.0;-31,6;1.0;стаб.;15.0;-37,5;6,3
Камчатский край;1.0;-50,0;0.0;-100,0;1.0;-66,7;стаб.
Хабаровский край;9.0;12,5;0.0;-100,0;10.0;11,1;стаб.
Амурская область;7.0;40,0;1.0;стаб.;7.0;стаб.;12,5
Магаданская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сахалинская область;1.0;стаб.;0.0;-100,0;1.0;100,0;стаб.
Еврейская автономная область;1.0;100,0;1.0;100,0;0.0;-100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
со стажем управления свыше 30 лет (дейст. с 01.01.2022 г.), апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;2384.0;14,4;294.0;32,4;2883.0;7,9;9,3
Центральный федеральный округ;643.0;20,4;75.0;59,6;773.0;18,7;8,8
Белгородская область;17.0;21,4;3.0;50,0;21.0;16,7;12,5
Брянская область;6.0;-33,3;2.0;100,0;4.0;-77,8;33,3
Владимирская область;32.0;6,7;5.0;150,0;55.0;27,9;8,3
Воронежская область;53.0;39,5;8.0;33,3;66.0;57,1;10,8
Ивановская область;28.0;300,0;1.0;-50,0;37.0;311,1;2,6
Калужская область;17.0;-22,7;1.0;100,0;22.0;-24,1;4,3
Костромская область;21.0;75,0;4.0;100,0;26.0;116,7;13,3
Курская область;21.0;-25,0;0.0;-100,0;27.0;-10,0;стаб.
Липецкая область;21.0;-36,4;5.0;100,0;26.0;-38,1;16,1
гор. Москва;202.0;75,7;7.0;40,0;214.0;79,8;3,2
Московская область;64.0;14,3;12.0;-7,7;69.0;27,8;14,8
Орловская область;17.0;21,4;1.0;-50,0;24.0;41,2;4,0
Рязанская область;27.0;-15,6;5.0;25,0;48.0;23,1;9,4
Смоленская область;13.0;-48,0;2.0;стаб.;13.0;-60,6;13,3
Тамбовская область;16.0;-33,3;5.0;150,0;20.0;-41,2;20,0
Тверская область;27.0;17,4;4.0;100,0;27.0;-15,6;12,9
Тульская область;41.0;64,0;7.0;250,0;43.0;-14,0;14,0
Ярославская область;20.0;-25,9;3.0;стаб.;31.0;3,3;8,8
Северо-Западный федеральный округ;161.0;15,0;24.0;100,0;180.0;стаб.;11,8
Республика Карелия;9.0;-10,0;4.0;100,0;11.0;-8,3;26,7
Республика Коми;12.0;9,1;1.0;стаб.;14.0;-12,5;6,7
Архангельская область;6.0;-25,0;0.0;-100,0;7.0;-22,2;стаб.
Вологодская область;16.0;стаб.;5.0;400,0;18.0;-18,2;21,7
Калининградская область;14.0;16,7;4.0;100,0;14.0;-12,5;22,2
Ленинградская область;26.0;4,0;6.0;20,0;29.0;-6,5;17,1
гор. Санкт-Петербург;33.0;6,5;1.0;-50,0;37.0;12,1;2,6
Мурманская область;6.0;-33,3;0.0;-100,0;6.0;-45,5;стаб.
Новгородская область;19.0;171,4;3.0;стаб.;19.0;46,2;13,6
Псковская область;18.0;63,6;0.0;-100,0;23.0;35,3;стаб.
Ненецкий автономный округ;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Южный федеральный округ;274.0;24,5;38.0;31,0;351.0;27,6;9,8
Республика Адыгея (Адыгея);9.0;28,6;5.0;400,0;7.0;-12,5;41,7
Республика Калмыкия;17.0;142,9;2.0;100,0;16.0;23,1;11,1
Республика Крым;22.0;-12,0;3.0;-40,0;31.0;стаб.;8,8
Краснодарский край;127.0;33,7;9.0;-18,2;166.0;49,5;5,1
Астраханская область;12.0;20,0;1.0;стаб.;14.0;40,0;6,7
Волгоградская область;30.0;-14,3;4.0;33,3;48.0;23,1;7,7
Ростовская область;45.0;36,4;12.0;71,4;56.0;5,7;17,6
гор. Севастополь;12.0;50,0;2.0;100,0;13.0;30,0;13,3
Северо-Кавказский федеральный округ;105.0;26,5;19.0;111,1;129.0;16,2;12,8
Республика Дагестан;20.0;66,7;5.0;100,0;28.0;33,3;15,2
Республика Ингушетия;9.0;80,0;5.0;66,7;13.0;225,0;27,8
Кабардино-Балкарская Республика;12.0;100,0;0.0;-100,0;15.0;150,0;стаб.
Карачаево-Черкесская Республика;2.0;-50,0;1.0;100,0;1.0;-75,0;50,0
Республика Северная Осетия-Алания;17.0;стаб.;1.0;стаб.;23.0;-11,5;4,2
Чеченская Республика;3.0;стаб.;1.0;100,0;4.0;стаб.;20,0
Ставропольский край;42.0;16,7;6.0;50,0;45.0;-2,2;11,8
Приволжский федеральный округ;453.0;-10,5;65.0;20,4;540.0;-16,8;10,7
Республика Башкортостан;53.0;-25,4;9.0;-10,0;60.0;-31,8;13,0
Республика Марий Эл;10.0;-23,1;1.0;-50,0;10.0;-50,0;9,1
Республика Мордовия;14.0;-12,5;2.0;100,0;18.0;-10,0;10,0
Республика Татарстан (Татарстан);22.0;-35,3;7.0;133,3;29.0;-29,3;19,4
Удмуртская Республика;32.0;88,2;3.0;50,0;37.0;105,6;7,5
Чувашская Республика - Чувашия;12.0;-25,0;1.0;-66,7;20.0;стаб.;4,8
Пермский край;39.0;-23,5;2.0;-33,3;44.0;-30,2;4,3
Кировская область;27.0;-20,6;2.0;100,0;28.0;-31,7;6,7
Нижегородская область;91.0;4,6;12.0;140,0;98.0;-14,8;10,9
Оренбургская область;27.0;-6,9;2.0;-75,0;31.0;-24,4;6,1
Пензенская область;34.0;61,9;4.0;33,3;40.0;60,0;9,1
Самарская область;47.0;14,6;7.0;стаб.;55.0;-6,8;11,3
Саратовская область;32.0;-42,9;10.0;100,0;50.0;-31,5;16,7
Ульяновская область;13.0;-35,0;3.0;200,0;20.0;-20,0;13,0
Уральский федеральный округ;175.0;3,6;13.0;-23,5;205.0;-6,0;6,0
Курганская область;12.0;-25,0;0.0;-100,0;13.0;-58,1;стаб.
Свердловская область;50.0;47,1;6.0;-14,3;55.0;44,7;9,8
Тюменская область;35.0;-28,6;2.0;100,0;43.0;-30,6;4,4
Челябинская область;65.0;27,5;3.0;-50,0;79.0;25,4;3,7
Ханты-Мансийский автономный округ - Югра;9.0;-10,0;1.0;100,0;11.0;-26,7;8,3
Ямало-Ненецкий автономный округ;4.0;-55,6;1.0;-66,7;4.0;-55,6;20,0
Сибирский федеральный округ;349.0;36,9;32.0;33,3;424.0;25,8;7,0
Республика Алтай;9.0;80,0;1.0;100,0;11.0;37,5;8,3
Республика Тыва;13.0;-7,1;1.0;стаб.;23.0;-14,8;4,2
Республика Хакасия;15.0;-11,8;1.0;-50,0;17.0;-34,6;5,6
Алтайский край;87.0;102,3;3.0;-50,0;105.0;72,1;2,8
Красноярский край;65.0;124,1;8.0;300,0;67.0;109,4;10,7
Иркутская область;40.0;-13,0;4.0;-20,0;51.0;-15,0;7,3
Кемеровская область - Кузбасс;51.0;96,2;5.0;400,0;68.0;106,1;6,8
Новосибирская область;38.0;22,6;6.0;100,0;45.0;28,6;11,8
Омская область;25.0;-34,2;1.0;-66,7;29.0;-39,6;3,3
Томская область;6.0;стаб.;2.0;100,0;8.0;14,3;20,0
Дальневосточный федеральный округ;224.0;27,3;28.0;-6,7;281.0;12,4;9,1
Республика Бурятия;25.0;13,6;2.0;-60,0;28.0;3,7;6,7
Республика Саха (Якутия);12.0;-20,0;1.0;-66,7;13.0;-50,0;7,1
Забайкальский край;45.0;80,0;9.0;28,6;51.0;21,4;15,0
Приморский край;44.0;12,8;5.0;-16,7;57.0;11,8;8,1
Камчатский край;11.0;83,3;2.0;100,0;12.0;20,0;14,3
Хабаровский край;36.0;44,0;4.0;-20,0;40.0;17,6;9,1
Амурская область;36.0;16,1;3.0;50,0;55.0;19,6;5,2
Магаданская область;4.0;33,3;0.0;-100,0;11.0;266,7;стаб.
Сахалинская область;5.0;стаб.;1.0;100,0;6.0;-14,3;14,3
Еврейская автономная область;5.0;стаб.;1.0;стаб.;5.0;25,0;16,7
Чукотский автономный округ;1.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
